('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         448159 function calls (432937 primitive calls) in 1.680 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    109/3    0.000    0.000    0.158    0.053 <frozen importlib._bootstrap>:1002(_find_and_load)
    40/30    0.000    0.000    0.074    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    141/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      103    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      103    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    103/4    0.000    0.000    0.157    0.039 <frozen importlib._bootstrap>:659(_load_unlocked)
