('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         447995 function calls (432797 primitive calls) in 1.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50568    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
    50069    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
43290/39379    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    18245    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
    15073    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
    11961    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
    11209    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     9462    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
     8724    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7791    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     7662    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     7387    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     6839    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     6335    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5675    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5314    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     4916    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
     4786    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     4570    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     4570    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     4100    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3820    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     3754    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3691    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
 3315/151    0.010    0.000    0.023    0.000 sre_compile.py:71(_compile)
 3273/281    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
     2960    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2888    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
 2862/158    0.015    0.000    0.048    0.000 sre_parse.py:493(_parse)
     2810    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
     2767    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2527    0.001    0.000    0.005    0.000 __init__.py:558(endData)
     2473    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2465    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2441    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2268    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2196    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
2189/1357    0.003    0.000    0.007    0.000 element.py:2192(_matches)
     2112    0.002    0.000    0.002    0.000 element.py:157(setup)
     2109    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     2100    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1965    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     1856    0.000    0.000    0.000    0.000 __init__.py:122(unescape)
     1782    0.001    0.000    0.013    0.000 element.py:2159(search)
     1668    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1435    0.000    0.000    0.001    0.000 element.py:1489(get)
     1424    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
     1384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1357    0.002    0.000    0.011    0.000 element.py:2096(search_tag)
     1355    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1342    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1296    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     1296    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1262    0.002    0.000    0.003    0.000 __init__.py:544(pushTag)
     1262    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1262    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1262    0.005    0.000    0.012    0.000 element.py:1180(__init__)
     1261    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     1261    0.002    0.000    0.004    0.000 __init__.py:660(_popToTag)
     1261    0.003    0.000    0.019    0.000 __init__.py:694(handle_starttag)
     1261    0.001    0.000    0.009    0.000 __init__.py:735(handle_endtag)
     1261    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1261    0.003    0.000    0.023    0.000 _htmlparser.py:122(handle_starttag)
     1261    0.001    0.000    0.010    0.000 _htmlparser.py:177(handle_endtag)
     1261    0.008    0.000    0.042    0.000 parser.py:300(parse_starttag)
     1261    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     1261    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     1193    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
